user,mac,staylength
11293,22117,373
12881,28289,373
16006,27510,373
21035,3073,373
17050,57871,372
27813,12396,372
32250,2137,372
35810,7652,371
26145,28341,370
2153,13930,369
4957,15953,369
6189,19534,369
24183,16610,369
1490,61432,367
1737,37048,367
6574,25712,367
15848,53901,367
22854,60800,367
10285,20094,365
13235,38770,365
17736,38256,365
30204,27216,365
31891,44032,365
2654,19803,364
21443,61784,364
32958,51278,364
34240,16267,364
4513,20063,363
35486,7126,363
7689,34445,362
16739,16511,362
32539,9632,362
13574,26604,361
29930,15195,361
30113,51785,361
21361,52506,360
975,1514,359
5068,44365,359
35438,60149,359
9589,22338,358
31242,15380,357
14371,215,356
22877,51886,356
35141,9424,356
23592,53578,355
29497,36054,355
32297,15083,355
5900,19861,354
12380,19103,354
17736,42855,354
20794,34324,354
34110,55904,354
3555,28706,353
5908,23459,353
8170,48593,353
11851,12860,353
33792,62384,353
19488,7225,352
27923,33223,352
30255,15715,352
8953,18321,351
11044,54191,351
11772,54521,351
27709,53641,351
35430,36925,351
4286,37847,350
13867,51607,350
28047,24801,350
32119,31080,350
33929,21878,350
12475,49862,349
22113,24423,349
25005,22969,349
28205,14654,349
30847,39393,349
6211,4840,348
8951,58141,348
36250,60352,348
30599,24043,347
26868,43895,346
36502,56717,346
4513,42543,345
5969,39310,345
9949,59411,345
17604,28820,345
20703,41656,345
27338,17870,345
30959,14179,345
31113,19595,345
13521,23514,344
14202,36261,344
14767,18610,344
34783,33080,344
17026,3516,343
18051,18136,343
4292,50099,342
19609,36488,342
24547,3049,342
34499,39827,342
10292,27778,341
11617,39717,340
20954,63157,340
32872,24772,340
3626,57357,339
10994,40341,339
16018,3621,339
32881,54691,339
17468,26006,338
10236,59240,337
17026,3943,337
19162,15686,337
24892,46293,337
35402,24384,337
9844,27897,336
18051,48635,336
23025,53468,336
33305,46160,336
35843,13482,336
20640,51832,335
23289,27349,335
27682,58615,335
13828,32767,334
13906,26472,334
23409,9354,334
37363,62163,334
817,42079,333
24878,39904,333
6736,20102,332
7177,9288,332
17551,15712,332
23698,5302,332
28402,12499,332
28606,22549,332
32114,6291,332
36853,9124,332
2351,20760,331
6548,44975,331
11995,23221,331
12573,7092,331
14131,62631,331
18595,61356,331
1486,18670,330
28731,19204,330
