user,mac,staylength
32245,51977,8
32697,56643,8
32708,47533,8
32810,15860,8
32867,52313,8
33886,55563,8
33995,32086,8
34340,33862,8
34627,2004,8
36940,44900,8
37244,20141,8
37405,613,8
18,2352,7
150,16830,7
666,29188,7
716,20893,7
729,20851,7
1018,23929,7
1275,6380,7
1593,9830,7
1733,55495,7
2057,42979,7
2153,13930,7
2260,37064,7
2280,8665,7
2333,55190,7
2449,54805,7
2909,7959,7
3290,22641,7
3366,56194,7
3657,11574,7
3792,26051,7
4290,32174,7
4952,12461,7
5029,35064,7
5105,16394,7
5370,18267,7
5450,47736,7
5592,49824,7
5913,5661,7
6211,4840,7
6381,63295,7
6540,8054,7
6988,37139,7
7250,30501,7
7374,10063,7
7507,51214,7
7625,11719,7
7629,57913,7
8112,42178,7
8170,48593,7
8357,53515,7
8368,40242,7
8636,12255,7
8671,19866,7
8690,37885,7
8808,18143,7
9372,34099,7
9748,8769,7
10092,35743,7
10350,16017,7
10497,55065,7
10976,47725,7
11076,57862,7
11177,32543,7
11433,40883,7
11588,26774,7
11838,22004,7
12048,10954,7
12093,47438,7
12156,1271,7
12263,27495,7
12465,58016,7
12819,44493,7
12881,28289,7
12966,61766,7
13007,29496,7
13159,1473,7
13204,13193,7
13737,32773,7
13747,45542,7
14609,62414,7
14927,53484,7
15159,29087,7
15355,24,7
15388,38779,7
15493,30627,7
15537,25754,7
15740,6975,7
15924,39055,7
16081,35628,7
16167,21364,7
16299,10087,7
16425,14401,7
16536,33650,7
16733,28920,7
17064,60366,7
17419,25180,7
17724,6419,7
18012,47933,7
18162,55427,7
18333,19839,7
18393,34950,7
18447,52522,7
18588,47036,7
18696,32592,7
19255,49245,7
19606,12677,7
19869,7316,7
19952,20521,7
20624,32431,7
20970,39067,7
21164,23695,7
21286,51972,7
21432,58450,7
21475,8701,7
21513,50772,7
21740,62398,7
22048,43651,7
22090,20943,7
22357,34986,7
22624,18067,7
22774,55574,7
22777,31958,7
23168,38687,7
24093,12167,7
24265,10490,7
24455,58572,7
24600,31525,7
24606,63273,7
25171,36645,7
25386,29463,7
25454,52101,7
26130,55526,7
26145,53605,7
26159,62534,7
26516,62103,7
26758,46803,7
26839,58005,7
27198,51387,7
27403,13709,7
27441,22425,7
27562,28779,7
27601,37879,7
27742,4432,7
28270,28113,7
28333,53618,7
28775,22464,7
29728,50679,7
29918,3445,7
29930,46686,7
30021,31663,7
30070,35710,7
30189,16773,7
30269,50602,7
30346,31937,7
30413,6660,7
30496,34820,7
30551,12217,7
30754,21045,7
30843,37818,7
30976,9574,7
31991,26699,7
32112,35990,7
32368,12693,7
32369,23694,7
32495,40333,7
32762,51329,7
33160,36477,7
34110,54745,7
34140,8547,7
34164,16687,7
34313,37715,7
34476,1208,7
34787,34277,7
34813,30405,7
34858,62343,7
34959,58464,7
35898,60646,7
35919,8907,7
35971,26881,7
36023,15228,7
36226,59039,7
36750,3449,7
37172,45013,7
37363,57704,7
37432,13050,7
222,54077,6
256,7884,6
817,42079,6
1016,48700,6
1134,10615,6
1737,37048,6
1744,28874,6
1979,27296,6
2049,42913,6
2190,10133,6
2904,33335,6
3072,18214,6
3118,50833,6
3240,43922,6
3259,23904,6
3360,49642,6
3515,37730,6
3631,29278,6
4462,27059,6
5058,60887,6
5208,5713,6
5222,45230,6
5426,31296,6
5500,39058,6
5585,41384,6
5599,47363,6
5603,12063,6
5931,48887,6
6161,4900,6
6165,4434,6
6339,3108,6
6374,20424,6
6579,41550,6
6617,42788,6
6622,7810,6
6731,31681,6
7129,48930,6
7619,60152,6
7646,42519,6
7751,40942,6
7775,60276,6
8006,26878,6
8150,18129,6
8184,47618,6
